Country,Impressions,Estimated earnings (EUR),Page views,Page RPM (EUR),Impression RPM (EUR),CTR,Active View Viewable,Average Viewable Time,Active View Measurable,Total impressions,Clicks,CPC (EUR),Page CTR,Ad requests,Ad request CTR,Ad request RPM (EUR),Coverage,Matched ad requests,Matched ad CTR,Matched ad RPM (EUR),Ads per impression,Ad CTR,Ad impressions,Ad RPM (EUR),Funnel requests,Funnel clicks,Funnel RPM (EUR),Funnel impressions
Algeria,2740,2.33,2055,1.13,0.85,0.0321,0.6376,13.9479,1,2740,88,0.03,0.0428,6646,0.0132,0.35,0.5605,3725,0.0236,0.63,1.004,0.032,2751,0.85,33,15,0.00,20
Sri Lanka,2648,3.70,2004,1.85,1.40,0.0465,0.6316,11.9973,0.9996,2648,123,0.03,0.0614,5611,0.0219,0.66,0.6263,3514,0.035,1.05,1.0034,0.0463,2657,1.39,33,6,0.00,10
Seychelles,2540,4.45,1367,3.26,1.75,0.0402,0.5939,11.9856,0.9996,2540,102,0.04,0.0746,4506,0.0226,0.99,0.7108,3203,0.0318,1.39,1.0024,0.0401,2546,1.75,0,9,,0
Egypt,2469,3.29,1868,1.76,1.33,0.0381,0.6997,13.3893,0.9996,2469,94,0.04,0.0503,4817,0.0195,0.68,0.7148,3443,0.0273,0.96,1.015,0.0375,2506,1.31,19,26,0.00,7
Czechia,2380,22.74,1117,20.36,9.56,0.0319,0.618,11.7408,0.9992,2380,76,0.30,0.068,3458,0.022,6.58,0.8577,2966,0.0256,7.67,1.0029,0.0318,2387,9.53,6,7,0.00,5
Antigua & Barbuda,2316,7.67,1294,5.92,3.31,0.0358,0.6145,11.2914,0.9996,2316,83,0.09,0.0641,3800,0.0218,2.02,0.7429,2823,0.0294,2.72,1.0017,0.0358,2320,3.30,8,5,0.00,4
Argentina,2243,4.05,1485,2.73,1.81,0.0223,0.6498,12.6934,1,2243,50,0.08,0.0337,4809,0.0104,0.84,0.5949,2861,0.0175,1.42,1.0013,0.0223,2246,1.80,7,3,0.00,6
Australia,2211,32.47,1173,27.68,14.68,0.0502,0.6116,9.8987,1,2211,111,0.29,0.0946,3533,0.0314,9.19,0.8169,2886,0.0385,11.25,1.0018,0.0501,2215,14.66,15,7,0.00,10
Romania,2142,15.55,1262,12.32,7.26,0.0434,0.5976,13.3915,0.9995,2142,93,0.17,0.0737,3293,0.0282,4.72,0.8491,2796,0.0333,5.56,1.0009,0.0434,2144,7.25,3,3,,0
Nepal,2040,2.41,1935,1.25,1.18,0.0593,0.6819,13.697,0.9985,2040,121,0.02,0.0625,5530,0.0219,0.44,0.5128,2836,0.0427,0.85,1.0093,0.0588,2059,1.17,11,24,0.00,7
Malta,2038,12.51,1093,11.45,6.14,0.0236,0.6454,12.4736,0.9891,2038,48,0.26,0.0439,2901,0.0165,4.31,0.8566,2485,0.0193,5.03,1.002,0.0235,2042,6.13,5,6,0.00,2
Portugal,1998,12.37,1204,10.27,6.19,0.025,0.6405,13.7915,0.9854,1998,50,0.25,0.0415,3068,0.0163,4.03,0.8439,2589,0.0193,4.78,1.0025,0.025,2003,6.18,1,6,0.00,1
Singapore,1969,14.34,2561,5.60,7.28,0.0315,0.6385,13.4096,1,1969,62,0.23,0.0242,5959,0.0104,2.41,0.4442,2647,0.0234,5.42,1.0025,0.0314,1974,7.27,41,4,0.00,7
Japan,1930,19.13,929,20.59,9.91,0.0212,0.5922,14.3541,0.9994,1930,41,0.47,0.0441,2936,0.014,6.52,0.8249,2422,0.0169,7.90,1.0026,0.0212,1935,9.89,4,5,0.00,4
Norway,1851,30.41,896,33.94,16.43,0.0362,0.6275,12.313,0.9978,1851,67,0.45,0.0748,2522,0.0266,12.06,0.9064,2286,0.0293,13.30,1.0032,0.0361,1857,16.38,1,7,,0
Madagascar,1843,3.62,1343,2.70,1.97,0.0619,0.6655,14.9314,0.9972,1843,114,0.03,0.0849,3894,0.0293,0.93,0.6037,2351,0.0485,1.54,1.0092,0.0613,1860,1.95,16,18,0.00,4
Oman,1818,9.13,939,9.72,5.02,0.0281,0.6246,15.2475,0.9978,1818,51,0.18,0.0543,2717,0.0188,3.36,0.859,2334,0.0219,3.91,1.0039,0.0279,1825,5.00,9,10,0.00,3
Fiji,1716,3.85,1112,3.46,2.24,0.0495,0.6037,13.1999,1,1716,85,0.05,0.0764,3109,0.0273,1.24,0.6948,2160,0.0394,1.78,1.0035,0.0494,1722,2.24,6,6,0.00,4
Bahrain,1710,9.90,933,10.61,5.79,0.0444,0.5814,11.3266,1,1710,76,0.13,0.0815,2657,0.0286,3.72,0.8239,2189,0.0347,4.52,1.0053,0.0442,1719,5.76,9,12,0.00,7
Belize,1672,4.10,937,4.38,2.45,0.0299,0.6217,11.8102,0.9988,1672,50,0.08,0.0534,3030,0.0165,1.35,0.6535,1980,0.0253,2.07,1.0024,0.0298,1676,2.45,1,6,0.00,1
American Samoa,1669,7.57,878,8.62,4.53,0.0581,0.5459,10.8425,0.9976,1669,97,0.08,0.1105,2681,0.0362,2.82,0.7844,2103,0.0461,3.60,1.0012,0.058,1671,4.53,3,3,0.00,2
Cameroon,1661,2.36,1324,1.78,1.42,0.0301,0.5,16.1369,0.9987,1661,50,0.05,0.0378,3694,0.0135,0.64,0.7017,2592,0.0193,0.91,1.0036,0.03,1667,1.41,30,7,0.00,12
Taiwan,1655,6.87,889,7.72,4.15,0.0381,0.5656,12.9344,0.9976,1655,63,0.11,0.0709,2953,0.0213,2.33,0.6932,2047,0.0308,3.35,1.0018,0.038,1658,4.14,6,5,,0
